row,col,data
0,3,0.2130
0,78,0.4915
0,144,0.2268
0,334,0.0034
1,3,0.2130
1,35,0.3498
1,151,0.2309
1,334,0.0034
2,6,0.3305
2,48,0.4108
2,159,0.1034
2,174,0.0987
2,334,0.0034
3,0,0.1202
3,1,0.4883
3,58,0.3123
3,172,0.1933
3,334,0.0034
4,4,0.4678
4,70,0.3208
4,220,0.3316
4,334,0.0034
5,3,0.2130
5,11,0.3290
5,273,0.2684
5,334,0.0034
6,7,0.4586
6,107,0.4289
6,236,0.2975
6,334,0.0034
7,6,0.3305
7,110,0.4267
7,294,0.2407
7,335,0.1009
8,4,0.4678
8,70,0.3208
8,157,0.3040
8,334,0.0034
9,5,0.6361
9,69,0.3874
9,155,0.2330
9,334,0.0034
10,0,0.2404
10,32,0.3200
10,288,0.1949
10,334,0.0034
11,7,0.4586
11,20,0.3633
11,278,0.1285
11,281,0.1263
11,334,0.0034
12,7,0.4586
12,104,0.3247
12,151,0.2309
12,335,0.1009
13,0,0.2404
13,32,0.3200
13,288,0.1949
13,334,0.0034
14,6,0.3305
14,75,0.3468
14,247,0.2680
14,334,0.0034
15,58,0.3123
15,172,0.1933
15,334,0.0034
16,3,0.2130
16,34,0.3870
16,231,0.2171
16,334,0.0034
17,7,0.4586
17,104,0.3247
17,161,0.0621
17,260,0.0628
17,316,0.0585
17,318,0.0420
17,331,0.0835
17,335,0.1009
18,23,0.2091
18,210,0.0898
18,253,0.0928
18,334,0.0034
19,9,0.3584
19,334,0.0034
20,3,0.2130
20,47,0.2002
20,98,0.1099
20,212,0.1662
20,334,0.0034
21,0,0.2404
21,32,0.3200
21,288,0.1949
21,334,0.0034
22,6,0.3305
22,9,0.3584
22,207,0.2448
22,334,0.0034
23,0,0.2404
23,8,0.5310
23,321,0.2173
24,6,0.3305
24,75,0.3468
24,159,0.1034
24,174,0.0987
24,334,0.0034
25,3,0.2130
25,81,0.4273
25,212,0.1662
25,334,0.0034
26,0,0.2404
26,58,0.3123
26,322,0.1936
26,334,0.0034
27,110,0.4267
27,294,0.2407
27,336,0.1215
28,3,0.2130
28,11,0.3290
28,171,0.1132
28,299,0.1128
28,334,0.0034
29,0,0.2404
29,65,0.4056
29,322,0.1936
29,334,0.0034
30,6,0.3305
30,118,0.6584
30,129,0.1376
30,283,0.2198
30,334,0.0034
31,6,0.3305
31,75,0.3468
31,174,0.1973
31,334,0.0034
32,3,0.2130
32,98,0.2199
32,215,0.1889
32,334,0.0034
33,3,0.2130
33,13,0.2417
33,97,0.3064
33,214,0.1089
33,237,0.1184
33,334,0.0034
34,6,0.3305
34,9,0.3584
34,207,0.2448
34,334,0.0034
35,6,0.3305
35,9,0.3584
35,207,0.2448
35,334,0.0034
36,3,0.2130
36,98,0.2199
36,135,0.0411
36,198,0.0410
36,231,0.0362
36,270,0.0320
36,297,0.0399
36,328,0.0422
36,334,0.0034
37,6,0.3305
37,57,0.3833
37,230,0.1165
37,332,0.1184
37,334,0.0034
38,7,0.4586
38,17,0.5005
38,138,0.2223
38,334,0.0034
39,0,0.2404
39,80,0.3705
39,240,0.1410
39,292,0.1421
39,335,0.1009
40,6,0.3305
40,110,0.4267
40,240,0.2820
40,334,0.0034
41,0,0.2404
41,23,0.1046
41,108,0.3128
41,210,0.0898
41,253,0.0928
41,334,0.0034
42,3,0.2130
42,111,0.2370
42,168,0.0836
42,215,0.0945
42,334,0.0034
43,0,0.2404
43,23,0.2091
43,321,0.2173
43,334,0.0034
44,3,0.2130
44,23,0.1046
44,55,0.2301
44,168,0.1673
44,334,0.0034
45,7,0.4586
45,104,0.3247
45,168,0.0836
45,252,0.1118
45,334,0.0034
46,0,0.2404
46,106,0.5277
46,136,0.1094
46,253,0.0928
46,334,0.0034
47,0,0.2404
47,23,0.2091
47,199,0.1885
47,334,0.0034
48,6,0.3305
48,53,0.4257
48,312,0.2739
48,334,0.0034
49,3,0.2130
49,98,0.2199
49,214,0.0544
49,237,0.0592
